DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
100.05,12.25,109.628,17.76,58.145,61.332,56.031,50.495,4.828,9.506,1.978,15.429,90.546,8.215,2034.925,0.115,2.306
100.13,12.25,109.621,17.76,57.7,61.328,56.043,48.111,5.041,9.506,1.978,15.428,90.533,8.209,2028.432,0.105,2.302
100.2,12.25,109.614,17.761,57.98,61.325,56.018,47.218,4.975,9.505,1.978,15.427,90.516,8.208,2023.404,0.09,2.297
100.28,12.25,109.606,17.761,59.283,61.321,55.972,47.569,4.876,9.505,1.978,15.425,90.495,8.213,2020.73,0.111,2.294
100.36,12.25,109.599,17.761,59.854,61.317,55.921,48.091,4.595,9.505,1.978,15.424,90.469,8.221,2020.743,0.055,2.297
100.43,12.25,109.592,17.761,60.615,61.314,55.873,48.234,4.698,9.505,1.978,15.423,90.438,8.227,2022.966,0.151,2.296
100.51,12.25,109.585,17.761,60.375,61.31,55.828,48.593,4.856,9.506,1.978,15.424,90.401,8.228,2025.852,0.101,2.285
100.58,12.25,109.577,17.762,58.843,61.306,55.794,49.379,5.516,9.507,1.978,15.428,90.358,8.222,2028.038,0.064,2.271
100.66,12.25,109.57,17.762,54.961,61.303,55.781,50.574,5.584,9.51,1.978,15.435,90.308,8.209,2029.237,0.087,2.259
100.74,12.25,109.563,17.762,50.613,61.299,55.787,51.954,5.185,9.513,1.979,15.448,90.251,8.193,2030.275,0.095,2.26
100.81,12.25,109.555,17.762,50.207,61.295,55.804,52.011,4.797,9.519,1.979,15.471,90.187,8.179,2032.591,0.1,2.262
100.89,12.25,109.548,17.762,55.344,61.291,55.825,50.945,4.537,9.528,1.979,15.502,90.114,8.17,2036.96,0.088,2.267
100.97,12.25,109.541,17.763,61.394,61.287,55.851,50.032,4.483,9.54,1.979,15.541,90.033,8.165,2042.867,0.129,2.282
101.04,12.25,109.533,17.763,60.374,61.284,55.88,50.046,4.788,9.551,1.978,15.581,89.942,8.163,2048.666,0.092,2.285
101.12,12.25,109.526,17.763,54.754,61.279,55.902,51.085,5.02,9.561,1.978,15.616,89.84,8.161,2052.522,0.085,2.289
101.19,12.25,109.518,17.763,50.189,61.275,55.903,52.571,4.731,9.568,1.978,15.643,89.728,8.156,2053.07,0.108,2.294
101.27,12.25,109.51,17.763,48.318,61.271,55.882,53.945,4.61,9.572,1.978,15.66,89.605,8.148,2050.271,0.109,2.303
101.35,12.25,109.502,17.764,48.247,61.267,55.852,54.008,4.662,9.574,1.978,15.669,89.469,8.138,2045.719,0.081,2.312
101.42,12.25,109.494,17.764,48.229,61.263,55.825,52.59,4.981,9.575,1.978,15.673,89.322,8.125,2041.437,0.134,2.315
101.5,12.25,109.486,17.764,48.706,61.258,55.802,50.084,4.793,9.575,1.978,15.673,89.163,8.114,2038.548,0.116,2.313
101.58,12.25,109.479,17.764,52.78,61.254,55.775,47.749,4.628,9.575,1.978,15.673,88.992,8.104,2037.198,0.116,2.321
101.65,12.25,109.471,17.764,61.427,61.25,55.739,47.258,4.929,9.575,1.978,15.672,88.81,8.099,2036.712,0.083,2.322
101.73,12.25,109.463,17.764,70.261,61.245,55.702,48.185,5.14,9.575,1.978,15.671,88.617,8.1,2036.521,0.134,2.332
