 DEPTH,BIT,BVOL,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,SPD,TTEN
1110.16,8.5,27.539,8.805,64.677,13.024,56.718,33.755,14.78,9.62,1.914,15.909,-999.25,-0.67,1.578,-999.25,-999.25
1110.23,8.5,27.536,8.805,72.556,13.023,56.719,31.876,14.787,9.62,1.912,15.909,-999.25,-0.678,1.592,-999.25,-999.25
1110.31,8.5,27.532,8.805,77.173,13.021,56.719,30.602,14.793,9.62,1.909,15.91,-999.25,-0.673,1.59,8.544,3179.091
1110.39,8.5,27.529,8.805,73.54,13.019,56.719,31.085,14.864,9.62,1.911,15.911,-999.25,-0.677,1.588,8.543,3176.623
1110.46,8.5,27.525,8.805,66.307,13.018,56.719,32.502,14.921,9.621,1.917,15.913,-999.25,-0.653,1.584,8.542,3175.613
1110.54,8.5,27.521,8.805,61.954,13.016,56.719,33.486,14.971,9.621,1.927,15.915,-999.25,-0.674,1.587,8.54,3176.516
1110.62,8.5,27.518,8.805,60.928,13.014,56.72,33.41,15.002,9.621,1.935,15.915,-999.25,-0.645,1.595,8.538,3178.711
1110.69,8.5,27.514,8.805,61.65,13.013,56.72,33.156,15.006,9.621,1.94,15.914,-999.25,-0.729,1.59,8.536,3181.155
1110.77,8.5,27.511,8.805,62.195,13.011,56.72,33.84,14.999,9.62,1.939,15.913,-999.25,-0.71,1.584,8.535,3183.351
1110.84,8.5,27.507,8.805,60.434,13.009,56.719,34.624,14.982,9.62,1.932,15.912,-999.25,-0.705,1.582,8.534,3185.637
1110.92,8.5,27.504,8.805,58.03,13.008,56.719,35.006,14.963,9.619,1.926,15.912,-999.25,-0.711,1.584,8.534,3188.543
1111,8.5,27.5,8.805,57.517,13.006,56.719,34.614,14.923,9.619,1.926,15.913,-999.25,-0.731,1.594,8.534,3192.139
1111.07,8.5,27.497,8.805,60.083,13.004,56.718,34.071,14.916,9.62,1.93,15.914,-999.25,-0.654,1.615,8.534,3195.505
1111.15,8.5,27.493,8.805,65.122,13.003,56.718,34.495,14.91,9.62,1.934,15.915,-999.25,-0.628,1.634,8.534,3197.273
1111.23,8.5,27.49,8.805,68.929,13.001,56.717,35.459,14.937,9.621,1.936,15.915,-999.25,-0.664,1.636,8.534,3196.385
1111.3,8.5,27.486,8.805,68.854,12.999,56.716,36.054,14.949,9.621,1.939,15.915,-999.25,-0.675,1.638,8.535,3192.735
1111.38,8.5,27.482,8.805,66.357,12.998,56.716,35.404,14.953,9.621,1.944,15.914,-999.25,-0.708,1.639,8.535,3187.739
1111.45,8.5,27.479,8.805,66.404,12.996,56.716,33.991,14.956,9.621,1.945,15.913,-999.25,-0.736,1.652,8.535,3183.622
1111.53,8.5,27.475,8.805,69.478,12.994,56.717,32.87,14.966,9.62,1.943,15.912,-999.25,-0.671,1.667,8.535,3182.13
1111.61,8.5,27.472,8.805,70.25,12.993,56.717,32.886,14.958,9.62,1.941,15.91,-999.25,-0.637,1.679,8.535,3183.531
1111.68,8.5,27.468,8.805,65.221,12.991,56.717,33.796,14.975,9.619,1.944,15.91,-999.25,-0.626,1.689,8.535,3186.599
1111.76,8.5,27.465,8.805,58.654,12.989,56.718,34.869,15.004,9.619,1.947,15.91,-999.25,-0.595,1.694,8.535,3189.341
1111.83,8.5,27.461,8.805,57.349,12.988,56.718,35.593,15.047,9.619,1.949,15.912,-999.25,-0.614,1.698,8.535,3190.188
1111.91,8.5,27.458,8.805,60.294,12.986,56.718,35.535,15.107,9.619,1.949,15.915,-999.25,-0.624,1.71,8.535,3188.937
1111.99,8.5,27.454,8.805,63.588,12.984,56.718,34.592,15.129,9.62,1.95,15.918,-999.25,-0.64,1.72,8.536,3186.81
1112.06,8.5,27.451,8.805,65.782,12.983,56.718,33.595,15.133,9.621,1.952,15.921,-999.25,-0.589,1.745,8.537,3185.358
1112.14,8.5,27.447,8.805,67.495,12.981,56.718,33.416,15.103,9.622,1.952,15.922,-999.25,-0.57,1.757,8.538,3185.444
1112.22,8.5,27.443,8.805,70.248,12.98,56.718,34.343,15.073,9.622,1.949,15.922,-999.25,-0.618,1.765,8.538,3186.789
1112.29,8.5,27.44,8.805,70.715,12.978,56.718,35.308,15.016,9.622,1.946,15.92,-999.25,-0.621,1.761,8.539,3188.458
1112.37,8.5,27.436,8.805,66.289,12.976,56.717,34.526,14.986,9.622,1.943,15.918,-999.25,-0.594,1.756,8.539,3189.793
1112.44,8.5,27.433,8.805,60.147,12.975,56.717,32.638,14.972,9.621,1.939,15.916,-999.25,-0.684,1.751,8.539,3190.692
1112.52,8.5,27.429,8.805,57.689,12.973,56.718,31.555,15.009,9.62,1.933,15.914,-999.25,-0.637,1.747,8.539,3191.44
1112.6,8.5,27.426,8.805,59.704,12.971,56.718,32.438,15.047,9.619,1.928,15.912,-999.25,-0.611,1.741,8.539,3192.235
1112.67,8.5,27.422,8.805,63.14,12.97,56.718,33.997,15.045,9.619,1.928,15.911,-999.25,-0.642,1.753,8.539,3192.974
1112.75,8.5,27.419,8.805,66.5,12.968,56.719,34.573,15.011,9.619,1.931,15.91,-999.25,-0.663,1.762,8.539,3193.21
1112.83,8.5,27.415,8.805,66.675,12.966,56.719,34.106,14.998,9.618,1.935,15.909,-999.25,-0.607,1.783,8.54,3192.511
1112.9,8.5,27.411,8.805,64.334,12.965,56.719,33.131,14.991,9.618,1.937,15.908,-999.25,-0.629,1.792,8.54,3190.966
1112.98,8.5,27.408,8.805,62.745,12.963,56.719,32.413,14.976,9.618,1.937,15.908,-999.25,-0.625,1.799,8.541,3188.852
1113.05,8.5,27.404,8.805,63.614,12.961,56.719,31.553,14.938,9.618,1.936,15.908,-999.25,-0.649,1.792,8.542,3186.312
1113.13,8.5,27.401,8.805,66.59,12.96,56.719,30.515,14.905,9.618,1.934,15.909,-999.25,-0.619,1.781,8.544,3183.703
1113.21,8.5,27.397,8.805,68.56,12.958,56.719,30.11,14.895,9.619,1.933,15.91,-999.25,-0.644,1.788,8.545,3181.771
1113.28,8.5,27.394,8.805,69.919,12.956,56.719,30.606,14.905,9.619,1.933,15.911,-999.25,-0.602,1.797,8.545,3181.467
1113.36,8.5,27.39,8.805,72.587,12.955,56.719,30.896,14.91,9.619,1.933,15.911,-999.25,-0.635,1.808,8.546,3182.961
1113.43,8.5,27.387,8.805,77.709,12.953,56.719,30.418,14.927,9.619,1.932,15.911,-999.25,-0.647,1.803,8.546,3185.613
1113.51,8.5,27.383,8.805,81.245,12.951,56.719,29.702,14.951,9.619,1.928,15.911,-999.25,-0.663,1.812,8.545,3188.38
1113.59,8.5,27.38,8.805,77.844,12.95,56.719,29.779,14.962,9.618,1.926,15.911,-999.25,-0.592,1.822,8.543,3190.276
1113.66,8.5,27.376,8.805,70.469,12.948,56.719,31.286,14.895,9.618,1.927,15.911,-999.25,-0.608,1.829,8.542,3191.16
1113.74,8.5,27.372,8.805,64.078,12.946,56.718,33.246,14.82,9.617,1.93,15.91,-999.25,-0.575,1.838,8.54,3191.455
1113.82,8.5,27.369,8.805,60.234,12.945,56.718,35.011,14.768,9.617,1.93,15.91,-999.25,-0.636,1.845,8.539,3191.563
1113.89,8.5,27.365,8.805,57.597,12.943,56.717,36.495,14.765,9.617,1.926,15.909,-999.25,-0.597,1.872,8.538,3191.637
1113.97,8.5,27.362,8.805,56.946,12.941,56.716,37.94,14.771,9.618,1.921,15.909,-999.25,-0.563,1.886,8.538,3191.326
1114.04,8.5,27.358,8.805,59.136,12.94,56.715,39.352,14.72,9.618,1.92,15.909,-999.25,-0.556,1.892,8.538,3190.234
1114.12,8.5,27.355,8.805,61.636,12.938,56.715,40.152,14.659,9.619,1.918,15.909,-999.25,-0.618,1.894,8.538,3188.694
1114.2,8.5,27.351,8.805,61.298,12.936,56.715,39.524,14.66,9.619,1.916,15.909,-999.25,-0.627,1.904,8.538,3187.79
1114.27,8.5,27.348,8.805,56.791,12.935,56.716,37.744,14.662,9.619,1.915,15.91,-999.25,-0.66,1.918,8.538,3188.35
1114.35,8.5,27.344,8.805,48.873,12.933,56.717,36.365,14.667,9.619,1.919,15.91,-999.25,-0.586,1.939,8.538,3190.185
1114.43,8.5,27.341,8.805,41.422,12.932,56.718,36.316,14.662,9.619,1.926,15.91,-999.25,-0.582,1.962,8.538,3192.498
1114.5,8.5,27.337,8.805,36.904,12.93,56.719,37.795,14.631,9.619,1.93,15.911,-999.25,-0.638,1.982,8.538,3194.37
1114.58,8.5,27.333,8.805,36.48,12.928,56.72,39.637,14.632,9.619,1.929,15.912,-999.25,-0.619,1.998,8.538,3195.484
1114.65,8.5,27.33,8.805,39.467,12.927,56.721,39.978,14.63,9.619,1.928,15.913,-999.25,-0.608,1.996,8.538,3196.03
1114.73,8.5,27.326,8.805,42.948,12.925,56.721,38.5,14.65,9.62,1.929,15.915,-999.25,-0.609,1.996,8.538,3196.18
1114.81,8.5,27.323,8.805,44.478,12.923,56.72,36.005,14.628,9.621,1.933,15.915,-999.25,-0.598,1.998,8.537,3195.896
1114.88,8.5,27.319,8.805,43.28,12.922,56.721,33.327,14.663,9.621,1.938,15.916,-999.25,-0.499,2.005,8.537,3195.119
1114.96,8.5,27.316,8.805,41.527,12.92,56.724,31.395,14.648,9.622,1.946,15.916,-999.25,-0.503,1.982,8.536,3193.874
1115.04,8.5,27.312,8.805,40.21,12.918,56.73,30.769,14.627,9.621,1.954,15.915,-999.25,-0.583,1.962,8.535,3192.679
1115.11,8.5,27.309,8.805,40.624,12.917,56.739,31.245,14.597,9.62,1.959,15.915,-999.25,-0.599,1.933,8.535,3192.336
1115.19,8.5,27.305,8.805,43.1,12.915,56.75,32.17,14.605,9.619,1.956,15.914,-999.25,-0.594,1.916,8.535,3193.09
1115.26,8.5,27.302,8.805,45.504,12.913,56.76,32.138,14.669,9.618,1.946,15.914,-999.25,-0.542,1.909,8.534,3194.246
1115.34,8.5,27.298,8.805,46.387,12.912,56.77,31.04,14.737,9.618,1.934,15.914,-999.25,-0.561,1.904,8.534,3194.365
1115.42,8.5,27.294,8.805,44.654,12.91,56.783,30.416,14.773,9.618,1.923,15.913,-999.25,-0.511,1.913,8.534,3191.87
1115.49,8.5,27.291,8.805,42.792,12.908,56.802,31.421,14.847,9.618,1.921,15.913,-999.25,-0.52,1.913,8.535,3186.685
1115.57,8.5,27.287,8.805,42.087,12.907,56.824,32.379,14.914,9.618,1.926,15.912,-999.25,-0.52,1.899,8.535,3180.706
1115.64,8.5,27.284,8.805,42.785,12.905,56.846,31.917,15.032,9.619,1.934,15.911,-999.25,-0.561,1.87,8.536,3176.731
1115.72,8.5,27.28,8.805,44.9,12.903,56.866,31.014,15.064,9.618,1.939,15.91,-999.25,-0.507,1.865,8.537,3177.285
1115.8,8.5,27.277,8.805,46.345,12.902,56.884,31.033,15.097,9.618,1.936,15.908,-999.25,-0.574,1.843,8.537,3182.936
1115.87,8.5,27.273,8.805,46.392,12.9,56.902,32.851,15.194,9.618,1.929,15.906,-999.25,-0.566,1.827,8.536,3191.273
1115.95,8.5,27.27,8.805,45.867,12.898,56.918,34.775,15.315,9.618,1.921,15.905,-999.25,-0.588,1.811,8.535,3197.865
1116.03,8.5,27.266,8.805,46.858,12.897,56.929,34.753,15.457,9.617,1.917,15.904,-999.25,-0.566,1.805,8.534,3198.812
1116.1,8.5,27.263,8.805,49.819,12.895,56.936,33.096,15.464,9.617,1.919,15.904,-999.25,-0.577,1.806,8.533,3193.215
1116.18,8.5,27.259,8.805,53.038,12.893,56.939,32.069,15.482,9.617,1.924,15.904,-999.25,-0.581,1.794,8.533,3183.899
1116.25,8.5,27.255,8.805,56.086,12.892,56.942,32.404,15.478,9.617,1.931,15.904,-999.25,-0.578,1.802,8.534,3176.213
1116.33,8.5,27.252,8.805,58.137,12.89,56.949,33.122,15.598,9.618,1.937,15.905,-999.25,-0.634,1.795,8.535,3174.438
1116.41,8.5,27.248,8.805,59.301,12.889,56.958,33.715,15.717,9.618,1.94,15.906,-999.25,-0.605,1.813,8.535,3178.935
1116.48,8.5,27.245,8.805,59.671,12.887,56.97,33.813,15.834,9.619,1.938,15.906,-999.25,-0.653,1.865,8.535,3186.247
1116.56,8.5,27.241,8.805,59.717,12.885,56.983,33.441,16.009,9.619,1.934,15.907,-999.25,-0.592,1.957,8.535,3191.168
1116.64,8.5,27.238,8.804,60.186,12.884,57,32.675,15.968,9.619,1.932,15.907,-999.25,-0.409,2.033,8.535,3189.952
1116.71,8.5,27.234,8.804,61.079,12.882,57.019,31.515,16.023,9.618,1.935,15.906,-999.25,-0.626,1.888,8.536,3182.653
1116.79,8.5,27.231,8.805,62.285,12.88,57.039,30.503,16.066,9.617,1.942,15.906,-999.25,-1.201,1.65,8.537,3172.878
1116.86,8.5,27.227,8.805,62.163,12.879,57.058,30.322,16.131,9.616,1.948,15.905,-999.25,-1.265,1.533,8.538,3165.504
1116.94,8.5,27.224,8.805,60.181,12.877,57.071,30.642,16.219,9.615,1.952,15.905,-999.25,-1.27,1.539,8.539,3163.568
1117.02,8.5,27.22,8.805,57.345,12.875,57.075,30.604,16.137,9.614,1.952,15.906,-999.25,-1.144,1.588,8.538,3166.864
1117.09,8.5,27.217,8.805,55.446,12.874,57.071,30.266,16.074,9.613,1.951,15.907,-999.25,-1.319,1.549,8.538,3172.319
1117.17,8.5,27.213,8.805,56.147,12.872,57.064,30.049,16.053,9.612,1.95,15.908,-999.25,-1.081,1.609,8.537,3176.273
1117.24,8.5,27.209,8.805,57.966,12.87,57.061,29.1,16.08,9.611,1.952,15.907,-999.25,-1.234,1.527,8.536,3177.045
1117.32,8.5,27.206,8.805,56.785,12.869,57.062,27.463,16.12,9.61,1.959,15.906,-999.25,-1.136,1.496,8.537,3175.675
1117.4,8.5,27.202,8.805,53.781,12.867,57.061,26.782,16.176,9.61,1.967,15.905,-999.25,-1.618,1.318,8.537,3175.001
1117.47,8.5,27.199,8.805,53.356,12.865,57.059,27.734,16.247,9.61,1.971,15.904,-999.25,-1.121,1.5,8.537,3177.323
1117.55,8.5,27.195,8.805,57.243,12.864,57.058,29.409,16.136,9.61,1.97,15.904,-999.25,-0.967,1.686,8.537,3182.188
1117.63,8.5,27.192,8.805,62.751,12.862,57.064,30.683,16.109,9.611,1.965,15.904,-999.25,-0.469,1.938,8.538,3186.703
1117.7,8.5,27.188,8.805,63.912,12.861,57.077,31.106,16.074,9.611,1.96,15.903,-999.25,-0.634,1.894,8.538,3187.424
1117.78,8.5,27.185,8.805,60.163,12.859,57.09,31.148,16.053,9.61,1.957,15.902,-999.25,-0.714,1.821,8.539,3182.84
1117.85,8.5,27.181,8.805,55.771,12.857,57.096,31.269,16.011,9.61,1.958,15.9,-999.25,-0.897,1.748,8.54,3174.276
1117.93,8.5,27.178,8.805,53.952,12.856,57.097,31.24,15.892,9.609,1.96,15.898,-999.25,-0.818,1.745,8.541,3165.201
1118.01,8.5,27.174,8.805,55.117,12.854,57.097,30.857,15.808,9.609,1.964,15.897,-999.25,-0.728,1.776,8.542,3159.34
1118.08,8.5,27.17,8.805,59.259,12.852,57.102,30.85,15.731,9.61,1.971,15.898,-999.25,-0.625,1.798,8.541,3158.62
1118.16,8.5,27.167,8.805,64.771,12.851,57.11,31.635,15.701,9.61,1.975,15.899,-999.25,-0.786,1.787,8.54,3162.686
1118.24,8.5,27.163,8.805,67.947,12.849,57.12,32.972,15.684,9.611,1.972,15.9,-999.25,-0.798,1.782,8.538,3169.335
1118.31,8.5,27.16,8.805,65.653,12.847,57.128,34.376,15.676,9.611,1.963,15.902,-999.25,-0.732,1.784,8.536,3175.689
1118.39,8.5,27.156,8.805,60.696,12.846,57.135,35.205,15.623,9.611,1.952,15.903,-999.25,-0.591,1.821,8.535,3179.589
1118.46,8.5,27.153,8.805,57.686,12.844,57.14,35.338,15.545,9.611,1.947,15.905,-999.25,-0.585,1.835,8.535,3179.942
1118.54,8.5,27.149,8.805,56.613,12.842,57.143,35.289,15.508,9.611,1.948,15.906,46.272,-0.619,1.845,8.535,3177.148
1118.62,8.5,27.146,8.805,55.548,12.841,57.145,35.637,15.453,9.611,1.95,15.906,46.294,-0.576,1.845,8.536,3172.97
1118.69,8.5,27.142,8.805,55.618,12.839,57.143,36.768,15.414,9.61,1.952,15.906,46.357,-0.622,1.851,8.537,3169.683
1118.77,8.5,27.139,8.805,58.528,12.837,57.137,39.413,15.346,9.609,1.951,15.906,46.452,-0.632,1.863,8.537,3169.002
1118.85,8.5,27.135,8.805,62.301,12.836,57.126,43.502,15.284,9.609,1.948,15.904,46.557,-0.609,1.898,8.538,3170.841
1118.92,8.5,27.131,8.805,62.613,12.834,57.112,48.749,15.271,9.608,1.943,15.901,46.663,-0.611,1.952,8.538,3173.384
1119,8.5,27.128,8.805,58.186,12.832,57.094,54.829,15.218,9.607,1.938,15.899,46.765,-0.548,2.02,8.537,3174.143
1119.07,8.5,27.124,8.805,54.662,12.831,57.073,61.943,15.189,9.606,1.934,15.896,46.851,-0.582,2.073,8.537,3171.641
1119.15,8.5,27.121,8.805,55.751,12.829,57.048,69.062,15.176,9.606,1.932,15.895,46.907,-0.558,2.111,8.536,3166.415
